Layers,Activation,Average Score,Average Accuracy
16-32-64-16,si16-si32-si64-si16,18.6,0.9419233095645905
16-32-64-16,re16-re32-re64-re16,40.2,0.9946932236353556
16-32-64-16,el16-el32-el64-el16,20.4,0.9940279444058736
16-32-64-16,re16-si32-re64-si16,36.0,0.9884296830495198
16-32-64-16,re16-re32-si64-si16,29.4,0.9909705221652985
16-32-64-16,si16-re32-re64-si16,31.6,0.9830060362815857
16-32-64-16,si16-si32-re64-re16,35.6,0.991387062072754
16-32-64-16,el16-si32-el64-si16,27.4,0.9885206266244253
16-32-64-16,el16-el32-si64-si16,28.6,0.9830080819129944
16-32-64-16,si16-el32-el64-si16,26.6,0.9874706407388051
16-32-64-16,si16-si32-el64-el16,33.6,0.9845298612117768
16-32-64-16,re16-el32-re64-el16,24.8,0.9949201369285583
16-32-64-16,re16-re32-el64-el16,44.0,0.9962641108036041
16-32-64-16,el16-re32-re64-el16,39.2,0.9952382250626882
16-32-64-16,el16-el32-re64-re16,30.4,0.9949787978331248
16-32-64-16,si16-re32-si64-si16,21.8,0.988189126253128
16-32-64-16,si16-si32-re64-si16,25.0,0.9781187538305919
16-32-64-16,si16-si32-si64-re16,33.4,0.9822836860020956
16-32-64-16,re16-si32-si64-si16,34.0,0.9842476936181387
16-32-64-16,si16-el32-si64-si16,29.2,0.980837398370107
16-32-64-16,si16-si32-el64-si16,39.4,0.9865952746073405
16-32-64-16,si16-si32-si64-el16,31.2,0.9783331644535065
16-32-64-16,el16-si32-si64-si16,43.0,0.9805070308844248
16-32-64-16,re16-el32-re64-re16,20.8,0.9951095366477967
16-32-64-16,re16-re32-el64-re16,41.2,0.9946518437067667
16-32-64-16,re16-re32-re64-el16,36.0,0.9929597647984822
16-32-64-16,el16-re32-re64-re16,42.0,0.9960985859235127
16-32-64-16,re16-si32-re64-re16,30.0,0.9814667534828186
16-32-64-16,re16-re32-si64-re16,33.6,0.9868199137846628
16-32-64-16,re16-re32-re64-si16,30.8,0.9931421180566152
16-32-64-16,si16-re32-re64-re16,25.0,0.9875368042786916
8-16,si8-si16,49.4,0.9744824526707331
8-16,re8-re16,26.6,0.9815124543507894
8-16,el8-el16,32.4,0.9922042238712311
8-16,so8-so16,19.4,0.9426147345701853
8-16,si8-re16,32.6,0.9861905558904012
8-16,re8-si16,48.4,0.986347668170929
8-16,si8-el16,28.2,0.9882370972633362
8-16,el8-si16,7.8,0.9742257523536683
8-16,si8-so16,35.4,0.9548657941818237
8-16,so8-si16,18.4,0.9766344932715098
8-16,re8-el16,35.4,0.9868960809707642
8-16,el8-re16,42.0,0.9934185945987701
8-16,so8-re16,25.4,0.9837006465593974
8-16,re8-so16,14.2,0.9694746669133504
8-16,so8-el16,26.2,0.979619386990865
8-16,el8-so16,27.8,0.9670704738299052
16-8,si16-si8,35.0,0.9778261307875316
16-8,re16-re8,34.2,0.9867517026265462
16-8,el16-el8,29.4,0.9890056081612905
16-8,so16-so8,29.4,0.9512610977888107
16-8,si16-re8,39.2,0.9920807611942292
16-8,re16-si8,31.0,0.9913415861129761
16-8,si16-el8,37.4,0.9867105484008789
16-8,el16-si8,33.0,0.9882111811637878
16-8,si16-so8,27.8,0.9694842143853506
16-8,so16-si8,38.8,0.9800572967529297
16-8,re16-el8,47.2,0.9944849566618601
16-8,el16-re8,34.4,0.9794459025065104
16-8,so16-re8,49.8,0.981306004524231
16-8,re16-so8,25.2,0.9816982146104177
16-8,so16-el8,32.8,0.9821256637573242
16-8,el16-so8,32.8,0.9879553890228272
